         4310950 function calls (4216646 primitive calls) in 6.463 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8831    0.001    0.000    0.001    0.000 fromnumeric.py:2758(_amin_dispatcher)
     2301    0.001    0.000    0.005    0.000 backend_pdf.py:807(write)
     2615    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        5    0.001    0.000    0.001    0.000 font_manager.py:1403(_get_font)
      558    0.001    0.000    0.002    0.000 transforms.py:2004(translate)
     4405    0.001    0.000    0.001    0.000 transforms.py:1900(get_matrix)
     3483    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      713    0.001    0.000    0.002    0.000 markers.py:267(_set_fillstyle)
        1    0.001    0.001    6.464    6.464 __main__.py:22(run_script)
        9    0.001    0.000    0.001    0.000 linalg.py:476(inv)
     2308    0.001    0.000    0.003    0.000 artist.py:205(convert_yunits)
       95    0.001    0.000    0.034    0.000 axis.py:352(_apply_params)
     1628    0.001    0.000    0.002    0.000 lines.py:1257(set_ydata)
      327    0.001    0.000    0.004    0.000 stride_tricks.py:478(broadcast_arrays)
     1614    0.001    0.000    0.001    0.000 function_base.py:244(iterable)
       10    0.001    0.000    0.005    0.001 colors.py:1163(__call__)
  530/258    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.001    0.000    0.020    0.007 backend_qt5agg.py:23(paintEvent)
      750    0.001    0.000    0.002    0.000 font_manager.py:794(set_style)
      586    0.001    0.000    0.002    0.000 path.py:161(_fast_from_codes_and_verts)
     1076    0.001    0.000    0.009    0.000 transforms.py:1315(__add__)
       64    0.001    0.000    0.011    0.000 axis.py:2535(get_tick_space)
     3296    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
      590    0.001    0.000    0.003    0.000 backend_bases.py:922(set_clip_path)
      472    0.001    0.000    0.002    0.000 path.py:190(_update_values)
       44    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.point_in_path}
       59    0.001    0.000    0.093    0.002 axis.py:486(__init__)
      644    0.001    0.000    0.001    0.000 __init__.py:1312(is_math_text)
     1328    0.001    0.000    0.001    0.000 artist.py:390(get_transform)
     3520    0.001    0.000    0.001    0.000 transforms.py:1019(get_points)
     3270    0.001    0.000    0.001    0.000 inspect.py:2631(__init__)
       94    0.001    0.000    0.001    0.000 {built-in method devicePixelRatioF}
      221    0.001    0.000    0.003    0.000 axis.py:464(update_position)
      792    0.001    0.000    0.009    0.000 <__array_function__ internals>:2(any)
     1280    0.001    0.000    0.002    0.000 lines.py:1245(set_xdata)
       61    0.001    0.000    0.001    0.000 {method 'flush' of 'zlib.Compress' objects}
     3221    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      311    0.001    0.000    0.025    0.000 patches.py:271(get_transform)
       64    0.001    0.000    0.019    0.000 axis.py:1262(get_minorticklocs)
       99    0.001    0.000    0.003    0.000 ticker.py:2136(_validate_steps)
      716    0.001    0.000    0.003    0.000 units.py:58(_is_natively_supported)
      746    0.001    0.000    0.002    0.000 artist.py:713(set_figure)
  997/995    0.001    0.000    0.003    0.000 transforms.py:2562(get_matrix)
        6    0.001    0.000    0.001    0.000 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2590    0.001    0.000    0.001    0.000 backend_mixed.py:62(__getattr__)
      945    0.001    0.000    0.002    0.000 transforms.py:2381(transform_non_affine)
      108    0.001    0.000    0.001    0.000 _mathtext.py:1347(hpack)
       32    0.001    0.000    0.422    0.013 axis.py:1133(draw)
     2066    0.001    0.000    0.002    0.000 __init__.py:1116(is_interactive)
      584    0.001    0.000    0.007    0.000 <__array_function__ internals>:2(reshape)
      203    0.001    0.000    0.001    0.000 core.py:2948(_update_from)
       52    0.001    0.000    0.010    0.000 axis.py:2268(get_tick_space)
      809    0.001    0.000    0.004    0.000 fromnumeric.py:2638(amax)
      474    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
       16    0.001    0.000    0.469    0.029 _base.py:2781(_update_title_position)
      187    0.001    0.000    0.010    0.000 backend_pdf.py:1855(check_gc)
     2630    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedWriter' objects}
      747    0.001    0.000    0.001    0.000 font_manager.py:804(set_variant)
     1508    0.001    0.000    0.001    0.000 pyparsing.py:1628(preParse)
      713    0.001    0.000    0.013    0.000 markers.py:220(__init__)
        1    0.001    0.001    0.001    0.001 soundfile.py:1314(_cdata_io)
    51/30    0.001    0.000    0.016    0.001 sre_parse.py:435(_parse_sub)
     1482    0.001    0.000    0.002    0.000 font_manager.py:1122(_expand_aliases)
      107    0.001    0.000    0.013    0.000 artist.py:749(set_clip_path)
      269    0.001    0.000    0.022    0.000 backend_agg.py:269(_get_agg_font)
      422    0.001    0.000    0.001    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
      116    0.001    0.000    0.007    0.000 transforms.py:1393(__sub__)
      643    0.001    0.000    0.001    0.000 backend_pdf.py:353(__init__)
        2    0.001    0.000    0.001    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       43    0.001    0.000    0.072    0.002 axis.py:419(__init__)
      301    0.001    0.000    0.002    0.000 transforms.py:1587(transform_path_non_affine)
      456    0.001    0.000    0.002    0.000 ticker.py:663(__call__)
        3    0.001    0.000    0.001    0.000 {built-in method drawImage}
      330    0.001    0.000    0.001    0.000 backend_agg.py:50(get_hinting_flag)
      513    0.001    0.000    0.001    0.000 deprecation.py:476(deprecate_method_override)
  984/707    0.001    0.000    0.002    0.000 transforms.py:2340(_invalidate_internal)
        4    0.001    0.000    0.001    0.000 {built-in method io.open}
      482    0.001    0.000    0.001    0.000 text.py:1187(set_verticalalignment)
